"list","item_1_condition","field_1_1","item_2_condition","field_2_1","item_3_condition","field_3_1","item_4_condition","field_4_1","item_5_condition","field_5_1"
38,"experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=849-acceptability=0","The ladies ever explained that the waitresses had sometimes lifted the cup.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1530-acceptability=1","The doctors wonder whether the guy should lift plates.","experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=0-npi_present=0-paradigm=1747-acceptability=1","Those newspaper articles could reference the best girl that patients have helped.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=a lot of-licensor=0-scope=0-npi_present=0-paradigm=237-acceptability=1","A lot of guests who insulted some girls were working with those customers."
39,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1530-acceptability=1","The doctors wonder whether the guy should lift plates.","experiment=NPI-env=quantifier-npi=any-crucial_item=a lot of-licensor=0-scope=0-npi_present=0-paradigm=237-acceptability=1","A lot of guests who insulted some girls were working with those customers.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=849-acceptability=0","The ladies ever explained that the waitresses had sometimes lifted the cup.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=1530-acceptability=1","The doctors wonder whether the guy should lift plates."
40,"experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=0-npi_present=0-paradigm=1747-acceptability=1","Those newspaper articles could reference the best girl that patients have helped.","experiment=NPI-env=superlative-npi=any-crucial_item=best-licensor=1-scope=0-npi_present=0-paradigm=1747-acceptability=1","Those newspaper articles could reference the best girl that patients have helped.","experiment=NPI-env=quantifier-npi=any-crucial_item=a lot of-licensor=0-scope=0-npi_present=0-paradigm=237-acceptability=1","A lot of guests who insulted some girls were working with those customers.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=849-acceptability=0","The ladies ever explained that the waitresses had sometimes lifted the cup."
41,"experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=0-npi_present=1-paradigm=1075-acceptability=0","The women who had seldom ran around malls watch any people.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=135-acceptability=1","Every woman who observed any women has brought cups.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=5407-acceptability=1","Some senators think that those teenagers have worried.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=1-npi_present=0-paradigm=1724-acceptability=1","Only the waiters have bought these dishes."
42,"experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=135-acceptability=1","Every woman who observed any women has brought cups.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=5407-acceptability=1","Some senators think that those teenagers have worried.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=1-npi_present=0-paradigm=1724-acceptability=1","Only the waiters have bought these dishes.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=0-npi_present=1-paradigm=1075-acceptability=0","The women who had seldom ran around malls watch any people."
43,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=5407-acceptability=1","Some senators think that those teenagers have worried.","experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=0-npi_present=1-paradigm=1075-acceptability=0","The women who had seldom ran around malls watch any people.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=135-acceptability=1","Every woman who observed any women has brought cups.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=5407-acceptability=1","Some senators think that those teenagers have worried."
44,"experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=1-npi_present=0-paradigm=1724-acceptability=1","Only the waiters have bought these dishes.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=1-npi_present=0-paradigm=1724-acceptability=1","Only the waiters have bought these dishes.","experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=0-npi_present=1-paradigm=1075-acceptability=0","The women who had seldom ran around malls watch any people.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=1-npi_present=1-paradigm=135-acceptability=1","Every woman who observed any women has brought cups."
45,"experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=1092-acceptability=1","The waiters who scarcely had plates do break those dishes.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=0-npi_present=1-paradigm=1585-acceptability=0","Any humans only should pass the college campuses.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0-paradigm=794-acceptability=1","Every patient who had investigated a lot of senators has respected the drivers.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1633-acceptability=1","While the senators respect those movie theaters, the boy will wear the pants."
46,"experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=0-npi_present=1-paradigm=1585-acceptability=0","Any humans only should pass the college campuses.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0-paradigm=794-acceptability=1","Every patient who had investigated a lot of senators has respected the drivers.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1633-acceptability=1","While the senators respect those movie theaters, the boy will wear the pants.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=1092-acceptability=1","The waiters who scarcely had plates do break those dishes."
47,"experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0-paradigm=794-acceptability=1","Every patient who had investigated a lot of senators has respected the drivers.","experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=1092-acceptability=1","The waiters who scarcely had plates do break those dishes.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=0-npi_present=1-paradigm=1585-acceptability=0","Any humans only should pass the college campuses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=0-paradigm=794-acceptability=1","Every patient who had investigated a lot of senators has respected the drivers."
48,"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1633-acceptability=1","While the senators respect those movie theaters, the boy will wear the pants.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1633-acceptability=1","While the senators respect those movie theaters, the boy will wear the pants.","experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=1092-acceptability=1","The waiters who scarcely had plates do break those dishes.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=0-npi_present=1-paradigm=1585-acceptability=0","Any humans only should pass the college campuses."
49,"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=958-acceptability=1","If the actress also dislikes the art galleries, the teenager will escape from the high schools.","experiment=NPI-env=only-npi=ever-crucial_item=only-licensor=1-scope=0-npi_present=1-paradigm=365-acceptability=0","The actor ever talked about only the schools.","experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=1487-acceptability=1","The girls who have always walked through schools dropped by these high schools.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=133-acceptability=0","The actresses are ever thinking that the lady had really hidden away."
50,"experiment=NPI-env=only-npi=ever-crucial_item=only-licensor=1-scope=0-npi_present=1-paradigm=365-acceptability=0","The actor ever talked about only the schools.","experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=1487-acceptability=1","The girls who have always walked through schools dropped by these high schools.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=133-acceptability=0","The actresses are ever thinking that the lady had really hidden away.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=958-acceptability=1","If the actress also dislikes the art galleries, the teenager will escape from the high schools."
51,"experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=1487-acceptability=1","The girls who have always walked through schools dropped by these high schools.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=958-acceptability=1","If the actress also dislikes the art galleries, the teenager will escape from the high schools.","experiment=NPI-env=only-npi=ever-crucial_item=only-licensor=1-scope=0-npi_present=1-paradigm=365-acceptability=0","The actor ever talked about only the schools.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=1487-acceptability=1","The girls who have always walked through schools dropped by these high schools."
